duid,fuel_type,quantity,dif_ave,dif_ave_0,dif_total,dif_total_0
CPP_4,Black Coal,5989.24798916667,524.894649613469,163.063172124888,3143724.22472181,976625.775756121
CPP_3,Black Coal,5934.77508416667,525.408442561597,161.711482553995,3118180.93392538,959721.277485102
GSTONE4,Black Coal,3896.812425,737.526053014951,170.638238341196,2874000.68714987,664945.207348084
GSTONE3,Black Coal,3825.92284916667,730.301678084937,172.065204822178,2794077.87696992,658308.198675711
CALL_B_2,Black Coal,4945.1834175,524.57351541262,161.698679713537,2594112.24967817,799629.629551028
STAN-3,Black Coal,4228.4758125,573.750815830054,172.506334801728,2426091.44713953,729438.864212133
STAN-2,Black Coal,4201.3095525,574.84149140724,172.385546578378,2415087.04902258,724245.043552675
STAN-4,Black Coal,4167.6767025,573.459361195599,173.558265929697,2389993.21948543,723334.741441497
STAN-1,Black Coal,3929.18341666667,587.146445591882,166.773393375857,2307006.0771744,655283.251593644
GSTONE6,Black Coal,2990.58953583333,577.252756211726,193.393961069742,1726326.05225774,578361.95626853
GSTONE1,Black Coal,2838.39786166667,599.653665312941,193.542028741402,1702055.68136483,549349.280522223
CALL_B_1,Black Coal,2442.09170583333,443.850204423554,162.405534503474,1083922.90285519,396609.208792364
KPP_1,Black Coal,11237.9980941667,87.8860125788175,61.9375838178972,987662.841864659,696054.448902817
YABULU,Gas,1346.14512583333,537.59570954261,205.569809260286,723681.844069697,276726.796754222
DAYDSF1,Solar,684.628860833333,824.82200176694,112.850327197441,564696.94745997,77260.5909538528
RRSF1,Solar,610.27194,828.030280554492,127.047490674486,505323.645692734,77533.5186060505
MPP_2,Black Coal,6381.8125,72.3901748280867,53.2342349337907,461980.522595069,339730.905928402
TARONG#1,Black Coal,4874.35844333333,82.2950028596368,59.5070365177357,401135.342033011,290058.62588797
EMERASF1,Solar,425.419166666667,792.857466271514,123.13283719,337296.762586672,52383.0689866722
TARONG#4,Black Coal,4246.8167375,77.1426520150752,57.7012307355248,327610.70575276,245046.552461976
MEWF1,Wind,673.00818,418.745037497108,174.124146706648,281818.835569961,117186.975069094
TARONG#3,Black Coal,3401.60008333334,78.4712691309376,58.1909129109984,266927.87561507,197942.214207295
SMCSF1,Solar,322.959918333333,819.525045735561,114.086340418124,264673.741842878,36845.3151843863
YABULU2,Gas,542.6888075,478.987932475504,232.154275735218,259941.389882021,125987.527054771
BARRON-2,Hydro,429.063333333333,577.775409312624,173.340522776837,247902.243037706,74374.0625043721
BARRON-1,Hydro,427.17,577.863978964958,173.918330238065,246846.155894461,74292.6931277944
HAMISF1,Solar,295.325,817.25825243343,115.96309653174,241356.793399903,34246.8014832361
WHITSF1,Solar,263.191666666667,907.046753140508,110.999624622001,238727.146703639,29214.1762036389
TNPS1,Black Coal,2637.06666666666,84.2817248200759,60.0249634564395,222256.527132194,158289.830298861
CLARESF1,Solar,267.659698333333,829.071739635672,113.099521782572,221909.091727576,30272.1838819674
TARONG#2,Black Coal,2565.02505916667,84.2648162429714,60.0547412391038,216141.365269296,154041.916200071
MSTUART1,Liquid Fuel,396.2292825,484.170814072551,276.079362628462,191842.654267408,109390.727767333
KAREEYA2,Hydro,318.243541666667,581.334225569449,170.176678021679,185005.86283727,54157.6287226871
KAREEYA4,Hydro,317.59375,581.880544175797,170.042971588962,184801.624076832,54004.5850080819
CPSA,Gas,2094.99779166667,88.1642243850505,62.2111706136971,184703.855390686,130332.265052694
KAREEYA3,Hydro,316.835,581.323382591802,170.191584560755,184183.593923474,53922.6506943069
KAREEYA1,Hydro,316.277083333333,581.43558902325,170.201070991197,183894.752242472,53830.6983133055
LILYSF1,Solar,229.776031666667,785.435821372206,126.447643736635,180474.326163755,29054.6377914046
HAYMSF1,Solar,218.655,805.707374633485,113.751974090011,176171.946000485,24872.4378946512
CSPVPS1,Solar,200.756833333333,841.406117835364,119.021176110673,168918.027763921,23894.3144155878
MSTUART2,Liquid Fuel,338.181695833333,453.400376941708,206.856943427251,153331.708365619,69955.2319231275
BRAEMAR3,Gas,1533.86672416667,74.1908030860948,51.9048871030553,113798.804092962,79615.1791490041
SRSF1,Solar,141.125833333333,755.302772208943,168.442385320173,106592.733146964,23771.5719969639
MSTUART3,Liquid Fuel,154.3336625,600.394912406133,284.934349145725,92661.1457780052,43974.9616757135
BRAEMAR7,Gas,994.9266825,75.2451567799402,53.8957269682533,74863.4142092584,53622.29683345
BRAEMAR6,Gas,816.694326666667,73.1046488790016,46.9202782755517,59704.1519924393,38319.5250732643
BRAEMAR5,Gas,943.558709166667,57.6536876505003,57.6536876505003,54399.6390982042,54399.6390982042
BRAEMAR1,Gas,817.666700833333,56.3146088805816,56.3146088805816,46046.5804521047,46046.5804521047
CHILDSF1,Solar,52.3833333333334,802.492230550244,151.945130804778,42037.2180103236,7959.39243532362
ROMA_8,Gas,342.67913,64.5352325178286,56.4886362885319,22114.8773335572,19357.4767382405
ROMA_7,Gas,341.605353333333,64.6632453194941,56.3496245524172,22089.3107650458,19249.3334054291
KSP1,Solar,63.3,328.054588083158,192.997465387002,20765.8554256639,12216.7395589972
HAUGHT11,Solar,14.8527133333333,958.094655507668,89.8168256465018,14230.3052644541,1334.02356383747
RUGBYR1,Solar,3.50370666666667,936.33873032281,84.2127925730749,3280.65625169023,295.0569227569
BARCALDN,Gas,0,,,0,0
BRAEMAR2,Gas,0,,,0,0
COOPGWF1,Wind,0,,,0,0
DDPS1,Gas,0,,,0,0
DDSF1,Solar,0,,,0,0
GSTONE2,Black Coal,0,,,0,0
GSTONE5,Black Coal,0,,,0,0
MACKAYGT,Liquid Fuel,0,,,0,0
MPP_1,Black Coal,0,,,0,0
